30
TuaMamma TiVuoleBene Perche'SeiStatoBravo
LaTuaDolceMeta' CredeTuSiaImpazzito PerComeTiComporti
LaPersonaPiu'VicinaATe TiDesideraFollemente EQuestoNonCambiera'Mai
IlTuoCane PensaTuSiaScemo Perche'SeiDiversoUltimamente
UnaPersonaImportante TiPortera'ISuoiSaluti PerIlKarma
UnTuoAmico TiAdora PerIlTuoAtteggiamento
IlTuoGatto PensaSoloATe ETiPiacera'
IlTuoAmicoImmaginario TiCredeUnFallito MaCambiera'Idea
UnaTuaAmica PensaTuSiaIrresistibile AncheSeSpessoSbagli
UnaPersonaCheCrediLontana Diventera'MoltoPiu'Importante ENonTeLoAspetterai
TuoPadre VuoleVedertiDiPiu' AncheSeNonSembra
TuoZio NonTiVedra'PerUnPo' ENonPuoiFarciNulla
UnPesci TiAmmira Perche'SeiApprezzabile
UnAcquario TiProvochera' ECambieraiIdea
UnaBilancia TiPortera'UnaSorpresa ,TiFara'Piacere
UnToro Arrivera'DoveMenoTeLoAspetti MaTeNeAllontanerai
UnSagittario Sprechera'DelTuoTempo ENeE'Consapevole
UnCapricorno Blocchera'QualcheTuaProposta MaOtterraiCio'CheE'DifficileRaggiungere
UnaBilancia TiDimostrera'Calore MaNonRiuscira'AFareCio'CheDesidera
UnaVergine TiRicordera'UnaCosa PerComeSeiNell'UltimoPeriodo 
UnLeone Fara'UnPassoIndietro Perche'NonC'e'Tempo
UnCancro Sara'Costruttivo Perche'FaSulSerio
UnAriete HaVissutoQualcosaDiPocoPiacevole ,MaPuoiFareDiMeglio
UnoScorpione Sara'MoltoAmbizioso Perche'HaUnoScopoNellaVita
UnTuoAmico Sara'LaTuaCertezza Perche'HaiSuperatoUnPochinoITuoiLimiti
UnAmicoInComune TiPortera'UnInsegnamento ,TiDara'Fastidio
ChiMenoTeLoAspetti TiOffrira'Un'Avventura ,TuApprezzerai
UnoSconosciuto SiFidera'DiTe ,ComunqueVadaTuNonMollare
UnaPersonaImportante VorrebbeVedertiPiu'Spesso ,RispondiConAffetto
UnaPersonaLontana TiVuoleDimostrareQualcosa .
